"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"lipA","","Lipoyl synthase","5","5","1","74","1575","","","","965","965","965","31P2R1A5_01926","42P1R1A12_01147","44P3R3A6_01597","51P2R2A10_02822","54P2R2A3_03076"
"cspE","","Cold shock-like protein CspE","5","5","1","74","1569","","","","209","209","209","31P2R1A5_01930","42P1R1A12_01151","44P3R3A6_01601","51P2R2A10_02826","54P2R2A3_03080"
"fdnH","","Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit","5","5","1","74","9584","","","","884","884","884","31P2R1A5_00661","42P1R1A12_02737","44P3R3A6_00577","51P2R2A10_01018","54P2R2A3_00216"
"group_1107","","hypothetical protein","5","5","1","74","1552","","","","980","980","980","31P2R1A5_01946","42P1R1A12_01166","44P3R3A6_01617","51P2R2A10_02841","54P2R2A3_03096"
"yoaD","","Putative 2-hydroxyacid dehydrogenase YoaD","5","5","1","74","1547","","","","1028","1028","1028","31P2R1A5_01951","42P1R1A12_01171","44P3R3A6_01622","51P2R2A10_02846","54P2R2A3_03101"
"rbsC_3","","Ribose import permease protein RbsC","5","5","1","74","1532","","","","998","998","998","31P2R1A5_01965","42P1R1A12_01186","44P3R3A6_01636","51P2R2A10_02860","54P2R2A3_03115"
"group_1116","","hypothetical protein","5","5","1","74","1510","","","","197","197","197","31P2R1A5_01971","42P1R1A12_01191","44P3R3A6_01642","51P2R2A10_02865","54P2R2A3_03121"
"cstA","","Peptide transporter CstA","5","5","1","74","1509","","","","2105","2108","2106","31P2R1A5_01972","42P1R1A12_01192","44P3R3A6_01643","51P2R2A10_02866","54P2R2A3_03122"
"clpB","","Chaperone protein ClpB","5","5","1","74","10445","","","","2573","2573","2573","31P2R1A5_01973","42P1R1A12_06073","44P3R3A6_05037","51P2R2A10_02740","54P2R2A3_01898"
"rluD","","Ribosomal large subunit pseudouridine synthase D","5","5","1","74","10448","","","","980","980","980","31P2R1A5_01975","42P1R1A12_06075","44P3R3A6_05035","51P2R2A10_02738","54P2R2A3_01896"
"pheA","","Bifunctional chorismate mutase/prephenate dehydratase","5","5","1","74","10451","","","","1160","1160","1160","31P2R1A5_01978","42P1R1A12_03759","44P3R3A6_05032","51P2R2A10_02735","54P2R2A3_01893"
"tyrA","","T-protein","5","5","1","74","10454","","","","1121","1121","1121","31P2R1A5_01980","42P1R1A12_03757","44P3R3A6_05030","51P2R2A10_02733","54P2R2A3_01891"
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive","5","5","1","74","10455","","","","1070","1070","1070","31P2R1A5_01981","42P1R1A12_03756","44P3R3A6_05029","51P2R2A10_02732","54P2R2A3_01890"
"rimM","","Ribosome maturation factor RimM","5","5","1","74","10467","","","","548","548","548","31P2R1A5_01989","42P1R1A12_03748","44P3R3A6_05021","51P2R2A10_02724","54P2R2A3_01882"
"ffh","","Signal recognition particle protein","5","5","1","74","10469","","","","1364","1367","1365","31P2R1A5_01991","42P1R1A12_03746","44P3R3A6_05019","51P2R2A10_02722","54P2R2A3_01880"
"ypjD","","Inner membrane protein YpjD","5","5","1","74","10470","","","","791","791","791","31P2R1A5_01992","42P1R1A12_03745","44P3R3A6_05018","51P2R2A10_02721","54P2R2A3_01879"
"grpE","","Protein GrpE","5","5","1","74","10472","","","","590","590","590","31P2R1A5_01994","42P1R1A12_03743","44P3R3A6_05016","51P2R2A10_02719","54P2R2A3_01877"
"fdnG_1","","Formate dehydrogenase, nitrate-inducible, major subunit","5","5","1","74","9583","","","","2411","2411","2411","31P2R1A5_00662","42P1R1A12_02738","44P3R3A6_00578","51P2R2A10_01019","54P2R2A3_00215"
"ratA","","Ribosome association toxin RatA","5","5","1","74","10480","","","","437","437","437","31P2R1A5_01999","42P1R1A12_03738","44P3R3A6_05011","51P2R2A10_02714","54P2R2A3_01872"
"oqxB9","","multidrug efflux RND transporter permease subunit OqxB9","5","5","1","74","10508","","","","3152","3152","3152","31P2R1A5_02024","42P1R1A12_05943","44P3R3A6_05003","51P2R2A10_01172","54P2R2A3_01864"
"group_1136","","hypothetical protein","5","5","1","74","10513","","","","911","911","911","31P2R1A5_02046","42P1R1A12_03706","44P3R3A6_04913","51P2R2A10_02691","54P2R2A3_01862"
"gbuA","","Guanidinobutyrase","5","5","1","74","10514","","","","950","950","950","31P2R1A5_02047","42P1R1A12_03705","44P3R3A6_04912","51P2R2A10_02690","54P2R2A3_01861"
"fdnG_2","","Formate dehydrogenase, nitrate-inducible, major subunit","5","5","1","74","9582","","","","587","587","587","31P2R1A5_00663","42P1R1A12_02739","44P3R3A6_00579","51P2R2A10_01020","54P2R2A3_00214"
"group_1143","","hypothetical protein","5","5","1","74","10594","","","","350","362","357","31P2R1A5_02074","42P1R1A12_05525","44P3R3A6_04885","51P2R2A10_02664","54P2R2A3_01832"
"emrA_4","","Multidrug export protein EmrA","5","5","1","74","10609","","","","1172","1172","1172","31P2R1A5_02088","42P1R1A12_05511","44P3R3A6_04871","51P2R2A10_02650","54P2R2A3_01818"
"emrB_2","","Multidrug export protein EmrB","5","5","1","74","10611","","","","1538","1538","1538","31P2R1A5_02089","42P1R1A12_05510","44P3R3A6_04870","51P2R2A10_02649","54P2R2A3_01817"
"yqaB","","Fructose-1-phosphate phosphatase YqaB","5","5","1","74","10618","","","","566","566","566","31P2R1A5_02095","42P1R1A12_05504","44P3R3A6_04864","51P2R2A10_02643","54P2R2A3_01811"
"alaS","","Alanine--tRNA ligase","5","5","1","74","10621","","","","2627","2627","2627","31P2R1A5_02103","42P1R1A12_01424","44P3R3A6_02847","51P2R2A10_02635","54P2R2A3_01803"
"srlD","","Sorbitol-6-phosphate 2-dehydrogenase","5","5","1","74","45","","","","779","779","779","31P2R1A5_02116","42P1R1A12_01412","44P3R3A6_02835","51P2R2A10_02623","54P2R2A3_01791"
"ansP2","","L-asparagine permease 2","5","5","1","74","9479","","","","1454","1547","1473","31P2R1A5_00702","42P1R1A12_03302","44P3R3A6_00617","51P2R2A10_01064","54P2R2A3_00174"
"hycG","","Formate hydrogenlyase subunit 7","5","5","1","74","27","","","","767","767","767","31P2R1A5_02132","42P1R1A12_01397","44P3R3A6_02815","51P2R2A10_02608","54P2R2A3_01775"
"ndhI","","NAD(P)H-quinone oxidoreductase subunit I, chloroplastic","5","5","1","74","10","","","","542","542","542","31P2R1A5_02133","42P1R1A12_01396","44P3R3A6_02814","51P2R2A10_02607","54P2R2A3_01774"
"licC_3","","Lichenan permease IIC component","5","5","1","74","2815","","","","1322","1322","1322","31P2R1A5_02150","42P1R1A12_01377","44P3R3A6_02797","51P2R2A10_02589","54P2R2A3_01757"
"mntB_2","","Manganese transport system membrane protein MntB","5","5","1","74","2821","","","","848","848","848","31P2R1A5_02156","42P1R1A12_01371","44P3R3A6_02791","51P2R2A10_02583","54P2R2A3_01751"
"mdoD","","Glucans biosynthesis protein D","5","5","1","74","9434","","","","1655","1844","1692","31P2R1A5_00742","42P1R1A12_03344","44P3R3A6_00657","51P2R2A10_01105","54P2R2A3_00134"
"mutS","","DNA mismatch repair protein MutS","5","5","1","74","2835","","","","2561","2567","2562","31P2R1A5_02169","42P1R1A12_01334","44P3R3A6_02778","51P2R2A10_02550","54P2R2A3_01737"
"pcm","","Protein-L-isoaspartate O-methyltransferase","5","5","1","74","2853","","","","626","626","626","31P2R1A5_02180","42P1R1A12_01323","44P3R3A6_02767","51P2R2A10_02539","54P2R2A3_01726"
"ftsB","","Cell division protein FtsB","5","5","1","74","2858","","","","317","317","317","31P2R1A5_02185","42P1R1A12_01318","44P3R3A6_02762","51P2R2A10_02534","54P2R2A3_01721"
"cysC","","Adenylyl-sulfate kinase","5","5","1","74","2861","","","","605","605","605","31P2R1A5_02187","42P1R1A12_01316","44P3R3A6_02760","51P2R2A10_02532","54P2R2A3_01719"
"cysI","","Sulfite reductase [NADPH] hemoprotein beta-component","5","5","1","74","2880","","","","1712","1712","1712","31P2R1A5_02193","42P1R1A12_01306","44P3R3A6_02744","51P2R2A10_02526","54P2R2A3_01713"
"mtlK","","Mannitol 2-dehydrogenase","5","5","1","74","3895","","","","1367","1367","1367","31P2R1A5_00790","42P1R1A12_03515","44P3R3A6_01765","51P2R2A10_03445","54P2R2A3_04545"
"queD","","6-carboxy-5,6,7,8-tetrahydropterin synthase","5","5","1","74","2882","","","","362","365","363","31P2R1A5_02195","42P1R1A12_01304","44P3R3A6_02742","51P2R2A10_02524","54P2R2A3_01711"
"queE","","7-carboxy-7-deazaguanine synthase","5","5","1","74","2883","","","","671","671","671","31P2R1A5_02196","42P1R1A12_01303","44P3R3A6_02741","51P2R2A10_02513","54P2R2A3_01710"
"eno","","Enolase","5","5","1","74","2885","","","","1298","1298","1298","31P2R1A5_02198","42P1R1A12_01301","44P3R3A6_02739","51P2R2A10_02511","54P2R2A3_01708"
"pyrG_1","","CTP synthase","5","5","1","74","2886","","","","1637","1637","1637","31P2R1A5_02199","42P1R1A12_01300","44P3R3A6_02738","51P2R2A10_02510","54P2R2A3_01707"
"relA","","GTP pyrophosphokinase","5","5","1","74","2888","","","","2237","2237","2237","31P2R1A5_02201","42P1R1A12_01298","44P3R3A6_02736","51P2R2A10_02508","54P2R2A3_01705"
"oppD_2","","Oligopeptide transport ATP-binding protein OppD","5","5","1","74","3906","","","","863","863","863","31P2R1A5_00798","42P1R1A12_03523","44P3R3A6_01757","51P2R2A10_03437","54P2R2A3_04553"
"ppnN","","Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase","5","5","1","74","2907","","","","1367","1367","1367","31P2R1A5_02213","42P1R1A12_01286","44P3R3A6_02724","51P2R2A10_02496","54P2R2A3_01693"
"sdaC_2","","Serine transporter","5","5","1","74","2908","","","","1289","1289","1289","31P2R1A5_02214","42P1R1A12_01285","44P3R3A6_02723","51P2R2A10_02495","54P2R2A3_01692"
"sdaB","","L-serine dehydratase 2","5","5","1","74","2909","","","","1367","1367","1367","31P2R1A5_02215","42P1R1A12_01284","44P3R3A6_02722","51P2R2A10_02494","54P2R2A3_01691"
"ssuA_2","","Putative aliphatic sulfonates-binding protein","5","5","1","74","2910","","","","941","941","941","31P2R1A5_02216","42P1R1A12_01283","44P3R3A6_02721","51P2R2A10_02493","54P2R2A3_01690"
"fucI","","L-fucose isomerase","5","5","1","74","2926","","","","1775","1775","1775","31P2R1A5_02230","42P1R1A12_01275","44P3R3A6_02707","51P2R2A10_02485","54P2R2A3_01676"
"rlmM","","Ribosomal RNA large subunit methyltransferase M","5","5","1","74","2933","","","","1100","1100","1100","31P2R1A5_02234","42P1R1A12_01271","44P3R3A6_02703","51P2R2A10_02481","54P2R2A3_01672"
"yegS","","putative lipid kinase YegS","5","5","1","74","3910","","","","893","896","894","31P2R1A5_00800","42P1R1A12_04230","44P3R3A6_01755","51P2R2A10_03433","54P2R2A3_04555"
"gcvA_2","","Glycine cleavage system transcriptional activator","5","5","1","74","2938","","","","824","917","879","31P2R1A5_02236","42P1R1A12_01269","44P3R3A6_02701","51P2R2A10_02479","54P2R2A3_01670"
"mltA","","Membrane-bound lytic murein transglycosylase A","5","5","1","74","2943","","","","1097","1097","1097","31P2R1A5_02241","42P1R1A12_01264","44P3R3A6_02696","51P2R2A10_02474","54P2R2A3_01665"
"pduA_2","","Propanediol utilization protein PduA","5","5","1","74","2985","","","","284","284","284","31P2R1A5_02266","42P1R1A12_01239","44P3R3A6_02671","51P2R2A10_02448","54P2R2A3_01640"
"pduB","","Propanediol utilization protein PduB","5","5","1","74","2986","","","","812","812","812","31P2R1A5_02267","42P1R1A12_01238","44P3R3A6_02670","51P2R2A10_02447","54P2R2A3_01639"
"pduC","","Propanediol dehydratase large subunit","5","5","1","74","2987","","","","1664","1664","1664","31P2R1A5_02268","42P1R1A12_01237","44P3R3A6_02669","51P2R2A10_02446","54P2R2A3_01638"
"pduA_1","","Propanediol utilization protein PduA","5","5","1","74","3003","","","","275","275","275","31P2R1A5_02273","42P1R1A12_01232","44P3R3A6_02664","51P2R2A10_02441","54P2R2A3_01633"
"argA","","Amino-acid acetyltransferase","5","5","1","74","3038","","","","1331","1331","1331","31P2R1A5_02289","42P1R1A12_01216","44P3R3A6_02648","51P2R2A10_02425","54P2R2A3_01617"
"thyA","","Thymidylate synthase","5","5","1","74","3052","","","","794","794","794","31P2R1A5_02299","42P1R1A12_01207","44P3R3A6_02638","51P2R2A10_02416","54P2R2A3_01607"
"lgt","","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","5","5","1","74","3053","","","","875","875","875","31P2R1A5_02300","42P1R1A12_01206","44P3R3A6_02637","51P2R2A10_02415","54P2R2A3_01606"
"ptsP","","Phosphoenolpyruvate-dependent phosphotransferase system","5","5","1","74","3054","","","","2246","2246","2246","31P2R1A5_02301","42P1R1A12_01205","44P3R3A6_02636","51P2R2A10_02414","54P2R2A3_01605"
"rppH_1","","RNA pyrophosphohydrolase","5","5","1","74","3055","","","","530","530","530","31P2R1A5_02302","42P1R1A12_01204","44P3R3A6_02635","51P2R2A10_02413","54P2R2A3_01604"
"group_1239","","hypothetical protein","5","5","1","74","3059","","","","713","713","713","31P2R1A5_02304","42P1R1A12_01201","44P3R3A6_02633","51P2R2A10_02410","54P2R2A3_01602"
"ugd","","UDP-glucose 6-dehydrogenase","5","5","1","74","4015","","","","1166","1166","1166","31P2R1A5_00832","42P1R1A12_04178","44P3R3A6_05470","51P2R2A10_00030","54P2R2A3_02484"
"ygdR_3","","putative lipoprotein YgdR","5","5","1","74","3060","","","","218","218","218","31P2R1A5_02305","42P1R1A12_01200","44P3R3A6_02632","51P2R2A10_02409","54P2R2A3_01601"
"lldR_2","","Putative L-lactate dehydrogenase operon regulatory protein","5","5","1","74","3066","","","","773","773","773","31P2R1A5_02311","42P1R1A12_05307","44P3R3A6_02626","51P2R2A10_02403","54P2R2A3_01595"
"lacF","","Lactose transport system permease protein LacF","5","5","1","74","3074","","","","890","890","890","31P2R1A5_02319","42P1R1A12_05299","44P3R3A6_02618","51P2R2A10_02395","54P2R2A3_01587"
"kduD_2","","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","5","5","1","74","3089","","","","761","761","761","31P2R1A5_02328","42P1R1A12_05289","44P3R3A6_02609","51P2R2A10_02385","54P2R2A3_01578"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","5","5","1","74","4034","","","","737","737","737","31P2R1A5_00844","42P1R1A12_04167","44P3R3A6_05352","51P2R2A10_00041","54P2R2A3_02472"
"group_1256","","hypothetical protein","5","5","1","74","3120","","","","605","608","607","31P2R1A5_02343","42P1R1A12_06148","44P3R3A6_02594","51P2R2A10_02370","54P2R2A3_04511"
"recJ","","Single-stranded-DNA-specific exonuclease RecJ","5","5","1","74","2571","","","","1733","1733","1733","31P2R1A5_02389","42P1R1A12_03867","44P3R3A6_02542","51P2R2A10_02309","54P2R2A3_04471"
"xerD","","Tyrosine recombinase XerD","5","5","1","74","2569","","","","896","896","896","31P2R1A5_02391","42P1R1A12_03865","44P3R3A6_02540","51P2R2A10_02307","54P2R2A3_04469"
"fldB","","Flavodoxin 2","5","5","1","74","2568","","","","521","521","521","31P2R1A5_02392","42P1R1A12_03864","44P3R3A6_02539","51P2R2A10_02306","54P2R2A3_04468"
"group_1276","","hypothetical protein","5","5","1","74","2555","","","","659","659","659","31P2R1A5_02396","42P1R1A12_03853","44P3R3A6_02535","51P2R2A10_02295","54P2R2A3_04464"
"fliY_4","","L-cystine-binding protein FliY","5","5","1","74","4227","","","","767","800","780","31P2R1A5_00964","42P1R1A12_03981","44P3R3A6_04366","51P2R2A10_00224","54P2R2A3_02407"
"gcvP","","Glycine dehydrogenase (decarboxylating)","5","5","1","74","2542","","","","2873","2873","2873","31P2R1A5_02405","42P1R1A12_03847","44P3R3A6_02525","51P2R2A10_02289","54P2R2A3_04455"
"gcvH","","Glycine cleavage system H protein","5","5","1","74","2538","","","","389","389","389","31P2R1A5_02406","42P1R1A12_03846","44P3R3A6_02524","51P2R2A10_02288","54P2R2A3_04454"
"zapA","","Cell division protein ZapA","5","5","1","74","2530","","","","329","329","329","31P2R1A5_02412","42P1R1A12_03840","44P3R3A6_02518","51P2R2A10_02282","54P2R2A3_04448"
"serA","","D-3-phosphoglycerate dehydrogenase","5","5","1","74","2524","","","","1232","1232","1232","31P2R1A5_02414","42P1R1A12_03838","44P3R3A6_02516","51P2R2A10_02280","54P2R2A3_04446"
"rpiA","","Ribose-5-phosphate isomerase A","5","5","1","74","2523","","","","659","659","659","31P2R1A5_02415","42P1R1A12_03837","44P3R3A6_02515","51P2R2A10_02279","54P2R2A3_04445"
"ftnA_1","","Bacterial non-heme ferritin","5","5","1","74","5859","","","","497","497","497","31P2R1A5_00981","42P1R1A12_00342","44P3R3A6_01155","51P2R2A10_00240","54P2R2A3_02350"
"group_130","","hypothetical protein","5","5","1","74","5858","","","","638","638","638","31P2R1A5_00982","42P1R1A12_00343","44P3R3A6_01154","51P2R2A10_00241","54P2R2A3_02349"
"gltS","","Sodium/glutamate symporter","5","5","1","75","659","","","","1202","1202","1202","31P2R1A5_02448","42P1R1A12_05989","44P3R3A6_02452","51P2R2A10_04168","54P2R2A3_01543"
"zapB","","Cell division protein ZapB","5","5","1","75","655","","","","239","239","239","31P2R1A5_02451","42P1R1A12_00326","44P3R3A6_02449","51P2R2A10_04165","54P2R2A3_01540"
"sbp","","Sulfate-binding protein","5","5","1","75","654","","","","989","989","989","31P2R1A5_02452","42P1R1A12_00325","44P3R3A6_02448","51P2R2A10_04164","54P2R2A3_01539"
