"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"rpmC","","50S ribosomal protein L29","6","6","1","171","50","","","","191","191","191","18P3R3A11_04444","37P2R3-2A1_04371","38P2R3A13_05890","47P2R3A6_04537","52P2R3A10_04278","56P2R2A4_04150"
"rplP","","50S ribosomal protein L16","6","6","1","171","49","","","","410","410","410","18P3R3A11_04445","37P2R3-2A1_04370","38P2R3A13_05889","47P2R3A6_04536","52P2R3A10_04277","56P2R2A4_04151"
"rplE","","50S ribosomal protein L5","6","6","1","171","54","","","","539","539","539","18P3R3A11_04440","37P2R3-2A1_04375","38P2R3A13_05894","47P2R3A6_04541","52P2R3A10_04282","56P2R2A4_04146"
"rpmD","","50S ribosomal protein L30","6","6","1","171","60","","","","179","179","179","18P3R3A11_04434","37P2R3-2A1_04381","38P2R3A13_05900","47P2R3A6_04547","52P2R3A10_04288","56P2R2A4_04140"
"crr","","PTS system glucose-specific EIIA component","6","6","1","166","6811","","","","509","509","509","18P3R3A11_03047","37P2R3-2A1_01956","38P2R3A13_04948","47P2R3A6_00143","52P2R3A10_02977","56P2R2A4_01529"
"rpsS","","30S ribosomal protein S19","6","6","1","171","46","","","","278","278","278","18P3R3A11_04448","37P2R3-2A1_04367","38P2R3A13_05886","47P2R3A6_04533","52P2R3A10_04274","56P2R2A4_04154"
"ppiC","","Peptidyl-prolyl cis-trans isomerase C","6","6","1","168","562","","","","281","281","281","18P3R3A11_02169","37P2R3-2A1_03269","38P2R3A13_04226","47P2R3A6_04324","52P2R3A10_04054","56P2R2A4_03793"
"ftsZ","","Cell division protein FtsZ","6","6","1","167","387","","","","1151","1151","1151","18P3R3A11_03705","37P2R3-2A1_02402","38P2R3A13_02604","47P2R3A6_02495","52P2R3A10_02275","56P2R2A4_02366"
"phoU","","Phosphate-specific transport system accessory protein PhoU","6","6","1","168","142","","","","725","725","725","18P3R3A11_02910","37P2R3-2A1_04235","38P2R3A13_03337","47P2R3A6_03771","52P2R3A10_03654","56P2R2A4_03655"
"nusB","","Transcription antitermination protein NusB","6","6","1","166","7129","","","","419","419","419","18P3R3A11_02314","37P2R3-2A1_01321","38P2R3A13_01258","47P2R3A6_03421","52P2R3A10_01392","56P2R2A4_00770"
"iscA","","Iron-binding protein IscA","6","6","1","166","6642","","","","323","323","323","18P3R3A11_03220","37P2R3-2A1_02053","38P2R3A13_03489","47P2R3A6_00049","52P2R3A10_02884","56P2R2A4_01436"
"rpsJ","","30S ribosomal protein S10","6","6","1","171","41","","","","311","311","311","18P3R3A11_04453","37P2R3-2A1_04362","38P2R3A13_05881","47P2R3A6_04528","52P2R3A10_04269","56P2R2A4_04159"
"manZ_1","","PTS system mannose-specific EIID component","6","6","1","166","2875","","","","851","851","851","18P3R3A11_01742","37P2R3-2A1_03116","38P2R3A13_01705","47P2R3A6_00720","52P2R3A10_01587","56P2R2A4_00179"
"rplO","","50S ribosomal protein L15","6","6","1","171","61","","","","434","434","434","18P3R3A11_04433","37P2R3-2A1_04382","38P2R3A13_05901","47P2R3A6_04548","52P2R3A10_04289","56P2R2A4_04139"
"rpsI","","30S ribosomal protein S9","6","6","1","166","1587","","","","392","392","392","18P3R3A11_02704","37P2R3-2A1_03482","38P2R3A13_04514","47P2R3A6_01378","52P2R3A10_02787","56P2R2A4_02906"
"rpmA","","50S ribosomal protein L27","6","6","1","166","1640","","","","257","257","257","18P3R3A11_02660","37P2R3-2A1_03438","38P2R3A13_03019","47P2R3A6_01421","52P2R3A10_02748","56P2R2A4_02945"
"glnS","","Glutamine--tRNA ligase","6","6","1","166","7548","","","","1667","1667","1667","18P3R3A11_01275","37P2R3-2A1_01606","38P2R3A13_04297","47P2R3A6_03122","52P2R3A10_01132","56P2R2A4_01034"
"gpsA","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","6","6","1","168","623","","","","1019","1019","1019","18P3R3A11_02171","37P2R3-2A1_03271","38P2R3A13_03992","47P2R3A6_03645","52P2R3A10_03979","56P2R2A4_03439"
"clpS","","ATP-dependent Clp protease adapter protein ClpS","6","6","1","166","352","","","","320","320","320","18P3R3A11_02763","37P2R3-2A1_00129","38P2R3A13_00923","47P2R3A6_02871","52P2R3A10_00919","56P2R2A4_01231"
"hupA","","DNA-binding protein HU-alpha","6","6","1","172","7","","","","272","272","272","18P3R3A11_04365","37P2R3-2A1_04354","38P2R3A13_05573","47P2R3A6_04500","52P2R3A10_04261","56P2R2A4_04114"
"rpmF","","50S ribosomal protein L32","6","6","1","166","1149","","","","173","173","173","18P3R3A11_00573","37P2R3-2A1_00333","38P2R3A13_00683","47P2R3A6_02186","52P2R3A10_00679","56P2R2A4_02215"
"rpsN","","30S ribosomal protein S14","6","6","1","171","55","","","","305","305","305","18P3R3A11_04439","37P2R3-2A1_04376","38P2R3A13_05895","47P2R3A6_04542","52P2R3A10_04283","56P2R2A4_04145"
"rpmB","","50S ribosomal protein L28","6","6","1","168","290","","","","236","236","236","18P3R3A11_02198","37P2R3-2A1_03298","38P2R3A13_04668","47P2R3A6_03672","52P2R3A10_04176","56P2R2A4_03411"
"diaA","","DnaA initiator-associating protein DiaA","6","6","1","166","1686","","","","590","590","590","18P3R3A11_02622","37P2R3-2A1_03400","38P2R3A13_02981","47P2R3A6_01459","52P2R3A10_02710","56P2R2A4_02983"
"crp","","cAMP-activated global transcriptional regulator CRP","6","6","1","169","275","","","","632","632","632","18P3R3A11_01909","37P2R3-2A1_02831","38P2R3A13_02329","47P2R3A6_03830","52P2R3A10_03211","56P2R2A4_03188"
"rpoZ","","DNA-directed RNA polymerase subunit omega","6","6","1","168","272","","","","275","275","275","18P3R3A11_02209","37P2R3-2A1_03309","38P2R3A13_04657","47P2R3A6_03683","52P2R3A10_04165","56P2R2A4_03400"
"fabR","","HTH-type transcriptional repressor FabR","6","6","1","170","35","","","","638","638","638","18P3R3A11_03915","37P2R3-2A1_03806","38P2R3A13_07104","47P2R3A6_04219","52P2R3A10_03909","56P2R2A4_03508"
"rpsM","","30S ribosomal protein S13","6","6","1","171","63","","","","356","356","356","18P3R3A11_04431","37P2R3-2A1_04384","38P2R3A13_05903","47P2R3A6_04550","52P2R3A10_04291","56P2R2A4_04137"
"mreB","","Cell shape-determining protein MreB","6","6","1","166","1558","","","","1043","1043","1043","18P3R3A11_02726","37P2R3-2A1_03504","38P2R3A13_04492","47P2R3A6_01355","52P2R3A10_02809","56P2R2A4_02884"
"nuoB","","NADH-quinone oxidoreductase subunit B","6","6","1","166","6402","","","","674","674","674","18P3R3A11_02402","37P2R3-2A1_01855","38P2R3A13_02829","47P2R3A6_00237","52P2R3A10_01920","56P2R2A4_01643"
"ribE","","6,7-dimethyl-8-ribityllumazine synthase","6","6","1","166","7128","","","","470","470","470","18P3R3A11_02315","37P2R3-2A1_01320","38P2R3A13_01259","47P2R3A6_03420","52P2R3A10_01393","56P2R2A4_00769"
"rpsH","","30S ribosomal protein S8","6","6","1","171","56","","","","392","392","392","18P3R3A11_04438","37P2R3-2A1_04377","38P2R3A13_05896","47P2R3A6_04543","52P2R3A10_04284","56P2R2A4_04144"
"rpsQ","","30S ribosomal protein S17","6","6","1","171","51","","","","254","254","254","18P3R3A11_04443","37P2R3-2A1_04372","38P2R3A13_05891","47P2R3A6_04538","52P2R3A10_04279","56P2R2A4_04149"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","6","6","1","167","236","","","","455","455","455","18P3R3A11_03485","37P2R3-2A1_02491","38P2R3A13_03562","47P2R3A6_02418","52P2R3A10_02352","56P2R2A4_02290"
"rpmG","","50S ribosomal protein L33","6","6","1","168","291","","","","167","167","167","18P3R3A11_02197","37P2R3-2A1_03297","38P2R3A13_04669","47P2R3A6_03671","52P2R3A10_04177","56P2R2A4_03412"
"glyQ","","Glycine--tRNA ligase alpha subunit","6","6","1","168","424","","","","911","911","911","18P3R3A11_03605","37P2R3-2A1_04203","38P2R3A13_03955","47P2R3A6_03599","52P2R3A10_03942","56P2R2A4_03474"
"cpxR","","Transcriptional regulatory protein CpxR","6","6","1","170","89","","","","698","698","698","18P3R3A11_03955","37P2R3-2A1_03846","38P2R3A13_03892","47P2R3A6_04258","52P2R3A10_03869","56P2R2A4_03546"
"group_10223","","hypothetical protein","6","6","1","166","6017","","","","335","335","335","18P3R3A11_03460","37P2R3-2A1_03731","38P2R3A13_01520","47P2R3A6_00464","52P2R3A10_02131","56P2R2A4_04168"
"atpF","","ATP synthase subunit b","6","6","1","168","126","","","","470","470","470","18P3R3A11_02894","37P2R3-2A1_04251","38P2R3A13_03325","47P2R3A6_03783","52P2R3A10_03642","56P2R2A4_03667"
"lpxC","","UDP-3-O-acyl-N-acetylglucosamine deacetylase","6","6","1","167","386","","","","917","917","917","18P3R3A11_03704","37P2R3-2A1_02403","38P2R3A13_02605","47P2R3A6_02494","52P2R3A10_02276","56P2R2A4_02365"
"clpP_1","","ATP-dependent Clp protease proteolytic subunit","6","6","1","166","7156","","","","623","623","623","18P3R3A11_02293","37P2R3-2A1_01342","38P2R3A13_01238","47P2R3A6_03441","52P2R3A10_01372","56P2R2A4_00790"
"lapB","","Lipopolysaccharide assembly protein B","6","6","1","166","3229","","","","1169","1169","1169","18P3R3A11_00730","37P2R3-2A1_01111","38P2R3A13_02701","47P2R3A6_00944","52P2R3A10_03432","56P2R2A4_00407"
"nuoI","","NADH-quinone oxidoreductase subunit I","6","6","1","166","6396","","","","542","542","542","18P3R3A11_02408","37P2R3-2A1_01849","38P2R3A13_02835","47P2R3A6_00243","52P2R3A10_01926","56P2R2A4_01649"
"clpA","","ATP-dependent Clp protease ATP-binding subunit ClpA","6","6","1","166","363","","","","2279","2279","2279","18P3R3A11_02762","37P2R3-2A1_00130","38P2R3A13_00922","47P2R3A6_02870","52P2R3A10_00918","56P2R2A4_01232"
"uspA","","Universal stress protein A","6","6","1","169","526","","","","437","437","437","18P3R3A11_01778","37P2R3-2A1_02964","38P2R3A13_02431","47P2R3A6_03965","52P2R3A10_03313","56P2R2A4_03085"
"ndk","","Nucleoside diphosphate kinase","6","6","1","166","6668","","","","431","431","431","18P3R3A11_03207","37P2R3-2A1_02036","38P2R3A13_03476","47P2R3A6_00062","52P2R3A10_02897","56P2R2A4_01449"
"ftsB","","Cell division protein FtsB","6","6","1","166","4514","","","","311","311","311","18P3R3A11_04217","37P2R3-2A1_02789","38P2R3A13_02042","47P2R3A6_01809","52P2R3A10_02528","56P2R2A4_02708"
"serS","","Serine--tRNA ligase","6","6","1","166","380","","","","1292","1292","1292","18P3R3A11_03171","37P2R3-2A1_00141","38P2R3A13_00908","47P2R3A6_02859","52P2R3A10_00904","56P2R2A4_01246"
"secY","","Protein translocase subunit SecY","6","6","1","171","62","","","","1331","1331","1331","18P3R3A11_04432","37P2R3-2A1_04383","38P2R3A13_05902","47P2R3A6_04549","52P2R3A10_04290","56P2R2A4_04138"
"pflB","","Formate acetyltransferase 1","6","6","1","166","390","","","","2282","2282","2282","18P3R3A11_03164","37P2R3-2A1_00148","38P2R3A13_00901","47P2R3A6_02392","52P2R3A10_00897","56P2R2A4_01253"
"lrp_1","","Leucine-responsive regulatory protein","6","6","1","166","376","","","","494","494","494","18P3R3A11_03175","37P2R3-2A1_00137","38P2R3A13_00912","47P2R3A6_02863","52P2R3A10_00908","56P2R2A4_01242"
"nusA","","Transcription termination/antitermination protein NusA","6","6","1","166","1656","","","","1502","1502","1502","18P3R3A11_02643","37P2R3-2A1_03421","38P2R3A13_03002","47P2R3A6_01438","52P2R3A10_02731","56P2R2A4_02962"
"tktA","","Transketolase 1","6","6","1","166","1978","","","","1991","1991","1991","18P3R3A11_01036","37P2R3-2A1_02630","38P2R3A13_04811","47P2R3A6_01663","52P2R3A10_04104","56P2R2A4_03335"
"secB","","Protein-export protein SecB","6","6","1","168","624","","","","467","467","467","18P3R3A11_02172","37P2R3-2A1_03272","38P2R3A13_03993","47P2R3A6_03646","52P2R3A10_03980","56P2R2A4_03438"
"envZ","","Osmolarity sensor protein EnvZ","6","6","1","169","327","","","","1346","1346","1346","18P3R3A11_01879","37P2R3-2A1_02863","38P2R3A13_02359","47P2R3A6_03861","52P2R3A10_03241","56P2R2A4_03158"
"ruvA","","Holliday junction ATP-dependent DNA helicase RuvA","6","6","1","166","2743","","","","611","614","613","18P3R3A11_01689","37P2R3-2A1_03075","38P2R3A13_01802","47P2R3A6_00678","52P2R3A10_01683","56P2R2A4_00137"
"tuf1_1","","Elongation factor Tu 1","6","6","1","172","27","","","","137","137","137","18P3R3A11_04342","37P2R3-2A1_04331","38P2R3A13_05550","47P2R3A6_04523","52P2R3A10_04238","56P2R2A4_04091"
"pstC","","Phosphate transport system permease protein PstC","6","6","1","168","139","","","","959","959","959","18P3R3A11_02907","37P2R3-2A1_04238","38P2R3A13_03334","47P2R3A6_03774","52P2R3A10_03651","56P2R2A4_03658"
"group_10273","","hypothetical protein","6","6","1","166","1034","","","","1934","1934","1934","18P3R3A11_00509","37P2R3-2A1_00395","38P2R3A13_00619","47P2R3A6_02115","52P2R3A10_00615","56P2R2A4_02150"
"atpD","","ATP synthase subunit beta","6","6","1","168","130","","","","1382","1382","1382","18P3R3A11_02898","37P2R3-2A1_04247","38P2R3A13_03329","47P2R3A6_03779","52P2R3A10_03646","56P2R2A4_03663"
"ihfA","","Integration host factor subunit alpha","6","6","1","166","947","","","","299","299","299","18P3R3A11_00450","37P2R3-2A1_00455","38P2R3A13_00561","47P2R3A6_02054","52P2R3A10_00558","56P2R2A4_02094"
"cobC","","Adenosylcobalamin/alpha-ribazole phosphatase","6","6","1","167","501","","","","647","647","647","18P3R3A11_01511","37P2R3-2A1_02322","38P2R3A13_02524","47P2R3A6_02581","52P2R3A10_02195","56P2R2A4_02446"
"ybaB","","Nucleoid-associated protein YbaB","6","6","1","166","7205","","","","332","332","332","18P3R3A11_02247","37P2R3-2A1_01388","38P2R3A13_01192","47P2R3A6_03486","52P2R3A10_01326","56P2R2A4_00834"
"argP_2","","HTH-type transcriptional regulator ArgP","6","6","1","166","1971","","","","893","893","893","18P3R3A11_01029","37P2R3-2A1_02637","38P2R3A13_04804","47P2R3A6_01670","52P2R3A10_04097","56P2R2A4_03342"
"glnK","","Nitrogen regulatory protein P-II 2","6","6","1","166","7171","","","","338","338","338","18P3R3A11_02277","37P2R3-2A1_01358","38P2R3A13_01222","47P2R3A6_03455","52P2R3A10_01356","56P2R2A4_00804"
"glyA","","Serine hydroxymethyltransferase","6","6","1","166","6628","","","","1253","1253","1253","18P3R3A11_03231","37P2R3-2A1_02064","38P2R3A13_04940","47P2R3A6_00038","52P2R3A10_02873","56P2R2A4_01425"
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","6","6","1","168","287","","","","1214","1214","1214","18P3R3A11_02200","37P2R3-2A1_03300","38P2R3A13_04666","47P2R3A6_03674","52P2R3A10_04174","56P2R2A4_03409"
"ompR_2","","Transcriptional regulatory protein OmpR","6","6","1","169","328","","","","719","719","719","18P3R3A11_01878","37P2R3-2A1_02864","38P2R3A13_02360","47P2R3A6_03862","52P2R3A10_03242","56P2R2A4_03157"
"cysK","","Cysteine synthase A","6","6","1","166","6814","","","","971","971","971","18P3R3A11_03044","37P2R3-2A1_01953","38P2R3A13_04951","47P2R3A6_00146","52P2R3A10_02980","56P2R2A4_01532"
"dusB","","tRNA-dihydrouridine synthase B","6","6","1","166","1545","","","","965","965","965","18P3R3A11_02738","37P2R3-2A1_03516","38P2R3A13_04480","47P2R3A6_01343","52P2R3A10_02821","56P2R2A4_02872"
"tcdA","","tRNA threonylcarbamoyladenosine dehydratase","6","6","1","166","4569","","","","806","806","806","18P3R3A11_00921","37P2R3-2A1_02747","38P2R3A13_02083","47P2R3A6_01768","52P2R3A10_02569","56P2R2A4_02666"
"sucD","","Succinate--CoA ligase [ADP-forming] subunit alpha","6","6","1","166","7585","","","","869","869","869","18P3R3A11_01306","37P2R3-2A1_01637","38P2R3A13_04793","47P2R3A6_03091","52P2R3A10_01100","56P2R2A4_01065"
"slmA","","Nucleoid occlusion factor SlmA","6","6","1","168","284","","","","596","596","596","18P3R3A11_02202","37P2R3-2A1_03302","38P2R3A13_04664","47P2R3A6_03676","52P2R3A10_04172","56P2R2A4_03407"
"rdgC","","Recombination-associated protein RdgC","6","6","1","166","7085","","","","914","914","914","18P3R3A11_02339","37P2R3-2A1_01296","38P2R3A13_01283","47P2R3A6_03395","52P2R3A10_01417","56P2R2A4_00745"
"rplC","","50S ribosomal protein L3","6","6","1","171","42","","","","629","629","629","18P3R3A11_04452","37P2R3-2A1_04363","38P2R3A13_05882","47P2R3A6_04529","52P2R3A10_04270","56P2R2A4_04158"
"malK_2","","Maltose/maltodextrin import ATP-binding protein MalK","6","6","1","169","179","","","","1109","1109","1109","18P3R3A11_04098","37P2R3-2A1_04013","38P2R3A13_03070","47P2R3A6_04191","52P2R3A10_03512","56P2R2A4_03755"
"fliG","","Flagellar motor switch protein FliG","6","6","1","166","2609","","","","998","998","998","18P3R3A11_01607","37P2R3-2A1_03798","38P2R3A13_01598","47P2R3A6_00577","52P2R3A10_01789","56P2R2A4_00054"
"accB","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","6","6","1","166","1551","","","","461","461","461","18P3R3A11_02732","37P2R3-2A1_03510","38P2R3A13_04486","47P2R3A6_01349","52P2R3A10_02815","56P2R2A4_02878"
"glnP_2","","Glutamine transport system permease protein GlnP","6","6","1","166","164","","","","659","659","659","18P3R3A11_02873","37P2R3-2A1_00024","38P2R3A13_01011","47P2R3A6_02975","52P2R3A10_01007","56P2R2A4_01144"
"ybiT","","putative ABC transporter ATP-binding protein YbiT","6","6","1","166","207","","","","1595","1595","1595","18P3R3A11_02856","37P2R3-2A1_00041","38P2R3A13_00994","47P2R3A6_02957","52P2R3A10_00990","56P2R2A4_01161"
"nusG","","Transcription termination/antitermination protein NusG","6","6","1","172","29","","","","545","545","545","18P3R3A11_04344","37P2R3-2A1_04333","38P2R3A13_05552","47P2R3A6_04521","52P2R3A10_04240","56P2R2A4_04093"
"aroK","","Shikimate kinase 1","6","6","1","169","312","","","","521","521","521","18P3R3A11_01891","37P2R3-2A1_02849","38P2R3A13_02347","47P2R3A6_03849","52P2R3A10_03229","56P2R2A4_03170"
"purF","","Amidophosphoribosyltransferase","6","6","1","166","6453","","","","1517","1517","1517","18P3R3A11_02372","37P2R3-2A1_01885","38P2R3A13_02799","47P2R3A6_00207","52P2R3A10_01890","56P2R2A4_01613"
"lon_2","","Lon protease","6","6","1","166","7158","","","","2354","2354","2354","18P3R3A11_02291","37P2R3-2A1_01344","38P2R3A13_01236","47P2R3A6_03443","52P2R3A10_01370","56P2R2A4_00792"
"rplK","","50S ribosomal protein L11","6","6","1","172","30","","","","428","428","428","18P3R3A11_04345","37P2R3-2A1_04334","38P2R3A13_05553","47P2R3A6_04520","52P2R3A10_04241","56P2R2A4_04094"
